permission_slug,super_admin,admin,finance_admin,country_manager,product_manager,inventory_manager,warehouse_manager,warehouse_staff,marketing_manager,marketer_manager,sales_manager,sales_agent,customer_support_agent,ai_supervisor,content_seo_editor,media_manager,b2b_sales_agent,maintenance_service_agent,shipping_coordinator,read_only_auditor,developer_api_admin,external_marketer,infra_lead,dba
catalog.read,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,own,Y,Y
catalog.write,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N
catalog.publish,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N
cost.read,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
cost.write,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
cost.export,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
marketer_cost.read,Y,N,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,own,N,N
marketer_cost.write,Y,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
pricing.read,Y,Y,Y,scoped,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N,N,Y,N,N,N,N
pricing.write,Y,Y,Y,scoped,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
pricing.bulk_apply,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
stock.read,Y,Y,read,scoped,Y,Y,scoped,scoped,Y,N,Y,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,Y
stock.write,Y,Y,N,N,N,Y,scoped,scoped,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
stock.transfer,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
stock.count_adjustment,Y,N,N,N,N,Y,scoped,scoped,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
country.read,Y,Y,Y,Y,Y,Y,scoped,scoped,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,scoped,Y,Y
country.write,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
country.activate,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
warehouse.read,Y,Y,Y,scoped,N,Y,own,own,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N
warehouse.create,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
warehouse.update,Y,N,N,N,N,Y,own,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
warehouse.deactivate,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
warehouse.archive,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
warehouse.reactivate,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
warehouse.delete_empty,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
warehouse.transfer_stock,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
order.read,Y,Y,Y,scoped,N,N,N,N,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,Y,N,own,N,N
order.write,Y,Y,N,scoped,N,N,N,N,N,N,Y,Y,Y,N,N,N,Y,N,N,N,N,N,N,N
order.refund,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
order.cancel,Y,Y,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N
customer.read,Y,Y,Y,scoped,N,N,N,N,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,Y,N,N,N,N
customer.write,Y,Y,N,scoped,N,N,N,N,N,N,Y,Y,Y,N,N,N,Y,N,N,N,N,N,N,N
customer.export,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
conversation.read,Y,Y,N,scoped,N,N,N,N,Y,Y,Y,Y,Y,Y,N,N,Y,N,N,Y,N,N,N,N
conversation.handle,Y,Y,N,scoped,N,N,N,N,Y,N,Y,Y,Y,N,N,N,Y,N,N,N,N,N,N,N
conversation.escalate,Y,Y,N,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N
ai.prompt.read,Y,Y,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,N,N,N,N
ai.prompt.write,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N
ai.tools.read,Y,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N
ai.cost.read,Y,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N
ai.playground.use,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N
auto_reply.read,Y,Y,N,scoped,N,N,N,N,Y,N,N,N,N,Y,Y,N,N,N,N,Y,N,N,N,N
auto_reply.write,Y,N,N,N,N,N,N,N,Y,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N
auto_reply.approve,Y,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N
messaging.template.read,Y,Y,N,N,N,N,N,N,Y,Y,N,N,Y,N,Y,N,N,N,N,Y,N,N,N,N
